region,family,vm type,regional_disk,sole_tenant,nested_virtualization,local_ssd,cores,gpu,cpu,memory,network_egress,on demand price,preemptible price
europe-central2,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.7296,0.1464
europe-west1,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.624,0.132
europe-west2,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.7296,0.1464
europe-west3,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.7296,0.1464
europe-west4,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.6248,0.1314
europe-west6,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.7931,0.167
europe-north1,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.6248,0.1314
northamerica-northeast1,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.6248,0.1314
asia,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.6568,0.132
asia-east,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.6568,0.132
asia-east1,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.6568,0.132
asia-east2,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.7931,0.167
